id_sewa,nama_penyewa,barang_disewa,tanggal_sewa,tanggal_kembali,total_biaya
1,Santi 458,TV Panasonic/LG 55 Inch,2024-01-20,2024-01-24,2200000
2,Wati 746,Epson 6000 Lumens,2024-12-13,2024-12-16,3000000
3,Dewi 121,Screen 2x3,2024-04-25,2024-04-29,1200000
4,Zaki 740,TV Panasonic/LG 50 Inch,2024-02-25,2024-02-28,1350000
5,Rina 937,TV Panasonic/LG 50 Inch,2025-09-20,2025-09-23,1350000
6,Fani 227,TV Panasonic/LG 50 Inch,2025-08-17,2025-08-23,2700000
7,Budi 557,TV Panasonic/LG 43 Inch,2023-01-05,2023-01-07,600000
8,Eko 191,TV Panasonic/LG 55 Inch,2025-11-21,2025-11-25,2200000
9,Iwan 422,Screen 2x3,2025-08-23,2025-08-28,1500000
10,Gani 899,TV Panasonic/LG 50 Inch,2023-07-30,2023-08-03,1800000
11,Hana 357,TV Panasonic/LG 50 Inch,2024-08-28,2024-09-01,1800000
12,Budi 197,TV Panasonic/LG 50 Inch,2024-08-13,2024-08-18,2250000
13,Eko 394,TV Panasonic/LG 43 Inch,2025-05-22,2025-05-25,900000
14,Fani 219,TV Panasonic/LG 50 Inch,2023-06-04,2023-06-06,900000
15,Zaki 370,TV Panasonic/LG 50 Inch,2023-06-21,2023-06-27,2700000
16,Andi 265,TV Panasonic/LG 50 Inch,2024-09-05,2024-09-11,2700000
17,Citra 707,TV Panasonic/LG 43 Inch,2024-11-01,2024-11-03,600000
18,Rina 282,TV Panasonic/LG 50 Inch,2024-01-07,2024-01-13,2700000
19,Tono 268,TV Panasonic/LG 65 Inch,2023-05-08,2023-05-13,3500000
20,Iwan 352,TV Panasonic/LG 50 Inch,2025-03-08,2025-03-13,2250000
21,Wati 433,TV Panasonic/LG 43 Inch,2023-12-01,2023-12-06,1500000
22,Wati 220,Screen 2x3,2025-03-10,2025-03-17,2100000
23,Zaki 637,TV Panasonic/LG 50 Inch,2025-04-19,2025-04-24,2250000
24,Eko 432,Screen 2x3,2026-01-26,2026-02-01,1800000
25,Budi 562,TV Panasonic/LG 50 Inch,2025-09-22,2025-09-29,3150000
26,Joko 451,Screen 2x3,2024-12-19,2024-12-22,900000
27,Zaki 337,TV Panasonic/LG 50 Inch,2026-03-20,2026-03-27,3150000
28,Eko 435,Screen 2x3,2024-09-08,2024-09-11,900000
29,Rina 213,TV Panasonic/LG 55 Inch,2023-12-07,2023-12-11,2200000
30,Dewi 663,TV Panasonic/LG 50 Inch,2026-02-09,2026-02-16,3150000
31,Eko 345,Screen 3x4,2024-07-11,2024-07-17,2400000
32,Tono 680,TV Panasonic/LG 43 Inch,2025-04-21,2025-04-27,1800000
33,Fani 216,TV Panasonic/LG 50 Inch,2023-11-19,2023-11-22,1350000
34,Wati 437,Epson 6000 Lumens,2026-03-01,2026-03-02,1000000
35,Iwan 735,TV Panasonic/LG 50 Inch,2023-12-28,2024-01-01,1800000
36,Santi 282,TV Panasonic/LG 43 Inch,2025-05-12,2025-05-15,900000
37,Wati 424,Epson 6000 Lumens,2024-02-19,2024-02-21,2000000
38,Tono 678,TV Panasonic/LG 55 Inch,2025-01-12,2025-01-14,1100000
39,Wati 595,TV Panasonic/LG 43 Inch,2026-02-14,2026-02-15,300000
40,Tono 375,TV Panasonic/LG 43 Inch,2025-07-12,2025-07-17,1500000
41,Tono 665,TV Panasonic/LG 43 Inch,2025-12-15,2025-12-22,2100000
42,Tono 708,TV Panasonic/LG 43 Inch,2023-07-15,2023-07-22,2100000
43,Citra 525,Screen 3x4,2024-06-21,2024-06-27,2400000
44,Dewi 381,Epson 6000 Lumens,2026-04-20,2026-04-27,7000000
45,Gani 389,TV Panasonic/LG 43 Inch,2025-01-13,2025-01-16,900000
46,Citra 697,Epson 6000 Lumens,2024-07-23,2024-07-26,3000000
47,Tono 938,TV Panasonic/LG 43 Inch,2024-02-08,2024-02-13,1500000
48,Wati 349,TV Panasonic/LG 50 Inch,2025-01-05,2025-01-10,2250000
49,Santi 994,TV Panasonic/LG 50 Inch,2023-02-28,2023-03-04,1800000
50,Dewi 626,TV Panasonic/LG 65 Inch,2026-02-01,2026-02-03,1400000
51,Fani 452,Epson 6000 Lumens,2024-11-03,2024-11-10,7000000
52,Iwan 697,Screen 2x3,2024-09-22,2024-09-27,1500000
53,Dewi 136,TV Panasonic/LG 55 Inch,2023-05-04,2023-05-07,1650000
54,Zaki 622,TV Panasonic/LG 65 Inch,2025-01-12,2025-01-17,3500000
55,Budi 156,TV Panasonic/LG 43 Inch,2023-11-15,2023-11-19,1200000
56,Santi 358,TV Panasonic/LG 43 Inch,2023-01-10,2023-01-11,300000
57,Gani 986,Epson 6000 Lumens,2024-06-13,2024-06-15,2000000
58,Santi 150,Epson 6000 Lumens,2023-02-25,2023-03-04,7000000
59,Iwan 363,TV Panasonic/LG 43 Inch,2025-02-05,2025-02-11,1800000
60,Joko 594,TV Panasonic/LG 65 Inch,2024-09-20,2024-09-24,2800000
61,Eko 123,TV Panasonic/LG 55 Inch,2025-07-09,2025-07-12,1650000
62,Hana 438,TV Panasonic/LG 65 Inch,2025-05-31,2025-06-05,3500000
63,Hana 568,Screen 2x3,2025-07-29,2025-08-04,1800000
64,Zaki 824,Screen 2x3,2025-05-06,2025-05-08,600000
65,Eko 987,TV Panasonic/LG 50 Inch,2024-08-07,2024-08-11,1800000
66,Wati 757,Epson 6000 Lumens,2023-05-30,2023-06-03,4000000
67,Santi 197,TV Panasonic/LG 43 Inch,2025-08-11,2025-08-13,600000
68,Fani 997,TV Panasonic/LG 43 Inch,2023-11-08,2023-11-11,900000
69,Fani 116,TV Panasonic/LG 55 Inch,2026-01-26,2026-01-29,1650000
70,Tono 369,TV Panasonic/LG 50 Inch,2025-12-19,2025-12-22,1350000
71,Joko 686,Screen 2x3,2025-12-27,2025-12-30,900000
72,Dewi 978,TV Panasonic/LG 43 Inch,2024-01-01,2024-01-03,600000
73,Andi 851,TV Panasonic/LG 43 Inch,2023-07-06,2023-07-12,1800000
74,Andi 507,Screen 3x4,2026-03-23,2026-03-24,400000
75,Citra 917,TV Panasonic/LG 75 Inch,2025-11-03,2025-11-05,2400000
76,Tono 916,Screen 3x4,2024-01-09,2024-01-14,2000000
77,Tono 799,TV Panasonic/LG 43 Inch,2025-10-28,2025-11-03,1800000
78,Joko 449,TV Panasonic/LG 65 Inch,2026-01-19,2026-01-22,2100000
79,Santi 431,TV Panasonic/LG 50 Inch,2025-11-25,2025-11-27,900000
80,Joko 802,Screen 3x4,2023-08-13,2023-08-17,1600000
81,Citra 568,TV Panasonic/LG 55 Inch,2024-12-23,2024-12-24,550000
82,Budi 347,TV Panasonic/LG 50 Inch,2025-05-24,2025-05-25,450000
83,Budi 821,Epson 6000 Lumens,2024-04-22,2024-04-27,5000000
84,Tono 382,TV Panasonic/LG 50 Inch,2023-08-16,2023-08-23,3150000
85,Rina 870,TV Panasonic/LG 43 Inch,2025-11-17,2025-11-21,1200000
86,Citra 200,TV Panasonic/LG 55 Inch,2025-07-19,2025-07-23,2200000
87,Gani 561,Epson 6000 Lumens,2026-01-28,2026-02-02,5000000
88,Dewi 195,TV Panasonic/LG 43 Inch,2025-08-07,2025-08-11,1200000
89,Wati 132,TV Panasonic/LG 50 Inch,2024-12-27,2024-12-28,450000
90,Dewi 383,TV Panasonic/LG 43 Inch,2023-04-29,2023-05-01,600000
91,Eko 844,Screen 2x3,2023-06-05,2023-06-08,900000
92,Citra 160,Screen 3x4,2024-03-02,2024-03-06,1600000
93,Dewi 982,TV Panasonic/LG 50 Inch,2025-02-02,2025-02-09,3150000
94,Hana 689,TV Panasonic/LG 50 Inch,2025-10-18,2025-10-19,450000
95,Andi 469,TV Panasonic/LG 43 Inch,2025-12-26,2026-01-01,1800000
96,Gani 978,Screen 3x4,2025-10-06,2025-10-13,2800000
97,Eko 533,TV Panasonic/LG 75 Inch,2024-02-29,2024-03-03,3600000
98,Zaki 852,TV Panasonic/LG 43 Inch,2025-07-09,2025-07-15,1800000
99,Eko 586,TV Panasonic/LG 55 Inch,2024-05-11,2024-05-16,2750000
100,Rina 985,Epson 6000 Lumens,2025-10-23,2025-10-26,3000000
101,Santi 689,Screen 3x4,2023-11-24,2023-11-25,400000
102,Budi 375,TV Panasonic/LG 50 Inch,2023-02-11,2023-02-16,2250000
103,Santi 453,Screen 2x3,2025-01-04,2025-01-11,2100000
104,Wati 942,Epson 6000 Lumens,2024-12-28,2025-01-02,5000000
105,Zaki 557,Screen 2x3,2023-04-12,2023-04-18,1800000
106,Wati 354,TV Panasonic/LG 43 Inch,2024-08-06,2024-08-12,1800000
107,Gani 392,Epson 6000 Lumens,2024-05-12,2024-05-15,3000000
108,Fani 338,Epson 6000 Lumens,2024-12-01,2024-12-04,3000000
109,Wati 424,TV Panasonic/LG 43 Inch,2024-02-08,2024-02-13,1500000
110,Dewi 581,Screen 3x4,2026-01-02,2026-01-09,2800000
111,Tono 161,TV Panasonic/LG 43 Inch,2025-09-08,2025-09-09,300000
112,Gani 680,Screen 3x4,2024-02-02,2024-02-05,1200000
113,Andi 516,TV Panasonic/LG 55 Inch,2026-04-23,2026-04-25,1100000
114,Eko 577,Screen 2x3,2025-02-28,2025-03-02,600000
115,Budi 206,TV Panasonic/LG 65 Inch,2026-01-21,2026-01-22,700000
116,Fani 547,TV Panasonic/LG 43 Inch,2025-12-24,2025-12-26,600000
117,Tono 338,TV Panasonic/LG 43 Inch,2024-10-24,2024-10-25,300000
118,Joko 586,TV Panasonic/LG 43 Inch,2024-03-12,2024-03-15,900000
119,Tono 369,TV Panasonic/LG 75 Inch,2026-02-22,2026-02-28,7200000
120,Citra 222,TV Panasonic/LG 55 Inch,2023-12-18,2023-12-23,2750000
121,Fani 805,TV Panasonic/LG 50 Inch,2023-10-17,2023-10-24,3150000
122,Fani 958,TV Panasonic/LG 55 Inch,2025-09-20,2025-09-27,3850000
123,Hana 415,TV Panasonic/LG 65 Inch,2024-05-09,2024-05-16,4900000
124,Budi 567,Screen 2x3,2024-08-24,2024-08-27,900000
125,Joko 424,Screen 3x4,2025-03-06,2025-03-08,800000
126,Citra 390,Screen 3x4,2023-03-06,2023-03-08,800000
127,Tono 490,TV Panasonic/LG 65 Inch,2023-09-07,2023-09-13,4200000
128,Dewi 202,Screen 3x4,2024-11-25,2024-11-28,1200000
129,Andi 213,Screen 2x3,2023-01-28,2023-01-29,300000
130,Zaki 178,TV Panasonic/LG 43 Inch,2023-12-25,2024-01-01,2100000
131,Iwan 454,TV Panasonic/LG 43 Inch,2024-02-26,2024-02-29,900000
132,Santi 965,Epson 6000 Lumens,2023-02-08,2023-02-14,6000000
133,Zaki 592,TV Panasonic/LG 55 Inch,2024-12-28,2024-12-30,1100000
134,Dewi 611,Epson 6000 Lumens,2023-11-03,2023-11-06,3000000
135,Gani 632,TV Panasonic/LG 55 Inch,2025-12-21,2025-12-22,550000
136,Dewi 447,Screen 2x3,2023-06-18,2023-06-22,1200000
137,Zaki 601,TV Panasonic/LG 55 Inch,2025-06-28,2025-07-01,1650000
138,Joko 941,TV Panasonic/LG 55 Inch,2023-12-13,2023-12-19,3300000
139,Rina 372,Epson 6000 Lumens,2026-02-18,2026-02-21,3000000
140,Gani 867,Epson 6000 Lumens,2025-01-26,2025-02-01,6000000
141,Joko 735,Screen 2x3,2024-11-27,2024-12-03,1800000
142,Zaki 480,TV Panasonic/LG 65 Inch,2023-07-04,2023-07-08,2800000
143,Wati 376,TV Panasonic/LG 43 Inch,2024-01-11,2024-01-16,1500000
144,Joko 338,TV Panasonic/LG 50 Inch,2023-10-18,2023-10-23,2250000
145,Dewi 359,TV Panasonic/LG 55 Inch,2025-11-19,2025-11-22,1650000
146,Zaki 159,TV Panasonic/LG 50 Inch,2025-02-22,2025-03-01,3150000
147,Gani 678,Screen 2x3,2023-01-26,2023-02-02,2100000
148,Citra 111,TV Panasonic/LG 65 Inch,2024-10-07,2024-10-12,3500000
149,Zaki 528,Epson 6000 Lumens,2025-03-08,2025-03-13,5000000
150,Santi 560,Epson 6000 Lumens,2023-08-14,2023-08-21,7000000
151,Citra 478,TV Panasonic/LG 75 Inch,2026-02-20,2026-02-25,6000000
152,Santi 487,TV Panasonic/LG 50 Inch,2025-05-03,2025-05-09,2700000
153,Budi 295,TV Panasonic/LG 43 Inch,2025-11-18,2025-11-22,1200000
154,Tono 100,TV Panasonic/LG 55 Inch,2025-09-17,2025-09-22,2750000
155,Fani 106,TV Panasonic/LG 50 Inch,2025-01-09,2025-01-15,2700000
156,Iwan 637,TV Panasonic/LG 43 Inch,2025-02-04,2025-02-06,600000
157,Zaki 703,TV Panasonic/LG 65 Inch,2023-12-01,2023-12-06,3500000
158,Dewi 670,Screen 2x3,2024-07-19,2024-07-21,600000
159,Santi 597,Epson 6000 Lumens,2025-11-11,2025-11-17,6000000
160,Citra 781,TV Panasonic/LG 50 Inch,2023-03-21,2023-03-25,1800000
161,Zaki 187,TV Panasonic/LG 43 Inch,2023-05-06,2023-05-11,1500000
162,Budi 856,TV Panasonic/LG 55 Inch,2025-01-09,2025-01-12,1650000
163,Fani 303,Screen 2x3,2024-10-29,2024-10-30,300000
164,Andi 473,TV Panasonic/LG 43 Inch,2025-06-23,2025-06-24,300000
165,Andi 424,TV Panasonic/LG 43 Inch,2025-10-04,2025-10-07,900000
166,Rina 664,Screen 3x4,2025-09-23,2025-09-28,2000000
167,Zaki 824,TV Panasonic/LG 50 Inch,2023-08-31,2023-09-07,3150000
168,Citra 522,Epson 6000 Lumens,2025-12-09,2025-12-14,5000000
169,Gani 922,Screen 2x3,2024-08-31,2024-09-04,1200000
170,Iwan 762,TV Panasonic/LG 43 Inch,2025-07-01,2025-07-03,600000
171,Iwan 798,TV Panasonic/LG 50 Inch,2025-02-03,2025-02-05,900000
172,Dewi 329,Epson 6000 Lumens,2023-03-30,2023-04-01,2000000
173,Rina 669,TV Panasonic/LG 50 Inch,2024-10-21,2024-10-26,2250000
174,Santi 859,Epson 6000 Lumens,2023-11-30,2023-12-03,3000000
175,Dewi 404,Screen 2x3,2025-03-27,2025-03-28,300000
176,Rina 254,TV Panasonic/LG 55 Inch,2025-03-30,2025-04-01,1100000
177,Dewi 590,TV Panasonic/LG 50 Inch,2023-12-04,2023-12-05,450000
178,Zaki 735,TV Panasonic/LG 50 Inch,2024-11-21,2024-11-23,900000
179,Eko 544,Screen 2x3,2024-07-29,2024-08-03,1500000
180,Zaki 324,TV Panasonic/LG 65 Inch,2023-05-25,2023-05-30,3500000
181,Santi 637,TV Panasonic/LG 43 Inch,2023-09-28,2023-09-29,300000
182,Hana 778,TV Panasonic/LG 65 Inch,2025-10-05,2025-10-08,2100000
183,Hana 478,TV Panasonic/LG 55 Inch,2024-05-21,2024-05-27,3300000
184,Budi 331,TV Panasonic/LG 43 Inch,2026-02-21,2026-02-27,1800000
185,Wati 609,TV Panasonic/LG 43 Inch,2026-03-17,2026-03-22,1500000
186,Budi 874,TV Panasonic/LG 50 Inch,2024-03-18,2024-03-21,1350000
187,Hana 968,Epson 6000 Lumens,2023-11-23,2023-11-29,6000000
188,Zaki 925,TV Panasonic/LG 55 Inch,2024-06-05,2024-06-12,3850000
189,Wati 758,Epson 6000 Lumens,2025-09-24,2025-09-28,4000000
