id_transaksi,nama_penyewa,barang_disewa,tanggal_sewa,tanggal_kembali,durasi_sewa,total_biaya,id_barang,jenis_barang,harga_sewa,stok,jumlah_disewa,tersedia
TRX-2023-00001,Rian Kusuma,TV LG 43 inch,2023-07-22,2023-07-24,2,567871,B005,TV,306000,12,1,2
TRX-2023-00002,Doni Lestari,TV LG 75 inch,2023-09-22,2023-09-29,7,7973328,B013,TV,1233000,4,1,4
TRX-2023-00003,Hadi Saputra,TV LG 55 inch,2025-02-04,2025-02-07,3,1546658,B009,TV,563000,8,1,0
TRX-2023-00004,Agus Ramadhan,TV Panasonic 43 inch,2025-09-26,2025-09-30,4,1228593,B004,TV,314000,12,1,3
TRX-2023-00005,Joko Saputra,Proyektor Epson 6000 Lumens,2025-03-28,2025-03-29,1,947237,B001,Proyektor,1020000,15,1,5
TRX-2023-00006,Lia Lestari,TV Panasonic 43 inch,2025-05-31,2025-06-04,4,1178976,B004,TV,299000,12,1,8
TRX-2023-00007,Siti Sari,Screen 2x3,2024-10-29,2024-11-05,7,1887805,B002,Screen,286000,10,1,2
TRX-2023-00008,Siti Kusuma,TV Panasonic 55 inch,2024-09-29,2024-10-06,7,3417439,B008,TV,537000,8,1,1
TRX-2023-00009,Siti Putri,TV Panasonic 50 inch,2024-09-25,2024-09-30,5,2094227,B006,TV,433000,10,1,1
TRX-2023-00010,Siti Putri,Screen 2x3,2024-10-21,2024-10-28,7,1987330,B002,Screen,305000,10,1,4
TRX-2023-00011,Siska Hidayat,Screen 3x4,2024-09-16,2024-09-21,5,1909128,B003,Screen,409000,8,1,8
TRX-2023-00012,Siti Sari,Proyektor Epson 6000 Lumens,2025-04-14,2025-04-18,4,4080124,B001,Proyektor,1023000,15,1,13
TRX-2023-00013,Andi Saputra,Proyektor Epson 6000 Lumens,2023-05-07,2023-05-13,6,5555775,B001,Proyektor,967000,15,1,9
TRX-2023-00014,Siska Wijaya,Screen 3x4,2024-12-10,2024-12-17,7,2819071,B003,Screen,414000,8,1,6
TRX-2023-00015,Agus Sari,TV LG 43 inch,2024-07-01,2024-07-03,2,543638,B005,TV,298000,12,1,11
TRX-2023-00016,Doni Kusuma,TV Panasonic 50 inch,2023-12-03,2023-12-06,3,1370526,B006,TV,462000,10,1,1
TRX-2023-00017,Eka Saputra,Screen 3x4,2024-12-21,2024-12-25,4,1511556,B003,Screen,382000,8,1,1
TRX-2023-00018,Agus Wijaya,TV Panasonic 43 inch,2025-10-12,2025-10-17,5,1384207,B004,TV,286000,12,1,5
TRX-2023-00019,Siska Putri,TV LG 65 inch,2024-04-14,2024-04-15,1,629694,B011,TV,690000,6,1,3
TRX-2023-00020,Lia Sari,TV Panasonic 55 inch,2023-03-25,2023-03-28,3,1692397,B008,TV,567000,8,1,6
TRX-2023-00021,Andi Hidayat,Screen 3x4,2025-06-09,2025-06-13,4,1615287,B003,Screen,412000,8,1,2
TRX-2023-00022,Yanto Pratama,TV LG 55 inch,2024-04-10,2024-04-13,3,1430250,B009,TV,528000,8,1,3
TRX-2023-00023,Siska Lestari,Screen 3x4,2024-10-04,2024-10-05,1,343103,B003,Screen,380000,8,1,7
TRX-2023-00024,Maya Santoso,TV Panasonic 55 inch,2024-04-28,2024-05-01,3,1534666,B008,TV,562000,8,1,5
TRX-2023-00025,Rina Kusuma,Proyektor Epson 6000 Lumens,2025-01-22,2025-01-27,5,4453817,B001,Proyektor,962000,15,1,3
TRX-2023-00026,Rina Putri,TV Panasonic 50 inch,2023-05-08,2023-05-11,3,1246125,B006,TV,433000,10,1,5
TRX-2023-00027,Joko Sari,TV LG 50 inch,2023-01-11,2023-01-12,1,431655,B007,TV,438000,10,1,5
TRX-2023-00028,Eka Sari,TV LG 55 inch,2024-05-03,2024-05-09,6,2968683,B009,TV,534000,8,1,2
TRX-2023-00029,Yanto Lestari,TV LG 65 inch,2024-01-18,2024-01-20,2,1329224,B011,TV,700000,6,1,3
